Category,Topic,M4 CS
อุปกรณ์ภายใน,หลังคาภายในดีไซน์ M สี Anthracite,■
อุปกรณ์ภายใน,ฟังก์ชันช่วยการจัดเก็บสัมภาระ,■
ระบบความบันเทิงและการสื่อสาร,BMW Live Cockpit Professional,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW ConnectedDrive,■
ระบบความบันเทิงและการสื่อสาร,BMW Connected Package Professional,■
ระบบความบันเทิงและการสื่อสาร,ระบบเชื่อมต่อ Smartphone,■
ระบบความบันเทิงและการสื่อสาร,ระบบชาร์จโทรศัพท์แบบไร้สาย,■
ระบบความบันเทิงและการสื่อสาร,ระบบเครื่องเสียงรอบทิศทาง Harman Kardon,■
ระบบความบันเทิงและการสื่อสาร,ระบบ eSIM ส่วนบุคคล (Personal eSIM),■
ความปลอดภัย,ถุงลมนิรภัยสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยด้านข้างสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยศีรษะสำหรับผู้โดยสารตอนหน้าและหลัง (ยกเว้นผู้โดยสารตอนหลังกลาง),■
ความปลอดภัย,ระบบ Teleservices,■
ความปลอดภัย,ปุ่มโทรออกฉุกเฉิน (Intelligent Emergency Call),■
ความปลอดภัย,ระบบควบคุมเสถียรภาพการขับขี่ (DSC),■
ความปลอดภัย,ระบบควบคุมแรงดันเบรกแบบแปรผัน (DBC),■
ความปลอดภัย,ระบบควบคุมการกระจายแรงเบรกขณะเข้าโค้ง (CBC),■
ความปลอดภัย,ระบบป้องกันล้อล็อกขณะเบรก (ABS),■
ความปลอดภัย,ระบบช่วยเสริมแรงเบรกอัตโนมัติ (Brake Assist),■
ความปลอดภัย,เซนเซอร์ควบคุมระยะการจอดด้านหน้าและหลัง,■
ความปลอดภัย,เซนเซอร์ควบคุมระบบความปลอดภัยเมื่อเกิดการชน (Crash Sensor),■
ความปลอดภัย,ระบบตรวจวัดลมยาง,■
ความปลอดภัย,ชุดปะยางฉุกเฉิน,■
ความปลอดภัย,ป้ายสามเหลี่ยมเตือนสะท้อนแสง,■
ความปลอดภัย,ระบบเตือนการชนด้านหน้าพร้อมระบบช่วยเบรค,■
ความปลอดภัย,ระบบเตือนคนเดินเท้าพร้อมระบบเบรกอัตโนมัติในเมือง,■
ความปลอดภัย,ระบบเตือนรถออกนอกเลนพร้อมช่วยนำรถกลับเข้าเลน,■
ความปลอดภัย,ระบบเตือนการเปลี่ยนเลน,■
ความปลอดภัย,ระบบเตือนการจราจรด้านหลัง,■
ความปลอดภัย,ระบบป้องกันการชนด้านหลัง,■
ชุดตกแต่งพิเศษ,แพ็กเกจ M Driver's,■
Paintwork / สีตัวถังและวัสดุภายใน,BMW Individual Riviera Blue Solid,Full leather 'Merino' - Anthracite
Paintwork / สีตัวถังและวัสดุภายใน,BMW Individual Frozen Isle of Man Green Metallic,Full leather 'Merino' - Anthracite
Paintwork / สีตัวถังและวัสดุภายใน,Black Saphire Metallic,Full leather 'Merino' - Anthracite
Paintwork / สีตัวถังและวัสดุภายใน,Brooklyn Grey Metallic,Full leather 'Merino' - Anthracite
ข้อมูลเอกสารอ้างอิง,วันที่พิมพ์เอกสาร,21 พฤศจิกายน 2567
ข้อมูลเอกสารอ้างอิง,รหัสแพ็กเกจ (Local Pack),"(Z0U, Z6Q, Z6R)"
หมายเหตุ,"¹ ความเร็วสูงสุดจะถูกปลดล็อคเมื่อรถได้ผ่านช่วงรันอินเป็นระยะทาง 2,000 กม. และได้รับการตรวจสภาพที่ผู้แทนจำหน่ายอย่างเป็นทางการเมื่อครบระยะรันอิน",-
หมายเหตุ,"* รับสิทธิ์เลือกแพคเกจการรับประกันนานสูงสุด 5 ปี ไม่จำกัดระยะทาง และการบริการดูแลบำรุงรักษาสูงสุด 5 ปี หรือ 100,000 กม. (แล้วแต่ระยะใดถึงก่อน)",-
หมายเหตุ,"บริษัทฯ ขอสงวนสิทธิ์ในการเปลี่ยนแปลงข้อมูล ไม่ว่าจะเป็นข้อกำหนดเรื่องรายละเอียด, สเปก และรุ่น ณ เวลาใดๆ โดยไม่ต้องบอกกล่าวล่วงหน้า และไม่จัดอยู่ในความรับผิดชอบในกรณีที่มีการผิดพลาดทางการพิมพ์",-
